"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\projects\level 2\room-reserve-server\src\app\modules\Room\Room.model.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 9, 7, 45
"c:\projects\level 2\room-reserve-server\src\app\modules\Room\Room.route.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\projects\level 2\room-reserve-server\src\app\modules\Room\Room.service.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 2, 15, 82
"c:\projects\level 2\room-reserve-server\src\app\modules\Room\Room.validation.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\projects\level 2\room-reserve-server\src\app\modules\Slots\Slots.controller.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 11, 60
"c:\projects\level 2\room-reserve-server\src\app\modules\Slots\Slots.interface.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\projects\level 2\room-reserve-server\src\app\modules\Slots\Slots.model.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 5, 17, 65
"c:\projects\level 2\room-reserve-server\src\app\modules\Slots\Slots.route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\projects\level 2\room-reserve-server\src\app\modules\Slots\Slots.service.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 14, 29, 160
"c:\projects\level 2\room-reserve-server\src\app\modules\Slots\Slots.validation.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\projects\level 2\room-reserve-server\src\app\modules\User\User.controller.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\projects\level 2\room-reserve-server\src\app\modules\User\User.interface.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\projects\level 2\room-reserve-server\src\app\modules\User\User.model.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 7, 8, 71
"c:\projects\level 2\room-reserve-server\src\app\modules\User\User.route.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\projects\level 2\room-reserve-server\src\app\modules\User\User.services.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 9, 34
"c:\projects\level 2\room-reserve-server\src\app\routes\index.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 5, 46
"c:\projects\level 2\room-reserve-server\src\app\utils\catchAsync.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\projects\level 2\room-reserve-server\src\app\utils\cronJobs.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 2, 4, 32
"c:\projects\level 2\room-reserve-server\src\app\utils\sendResponse.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\projects\level 2\room-reserve-server\src\server.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\projects\level 2\room-reserve-server\tsconfig.json", "JSON with Comments", 14, 0, 0, 0, 0, 0, 89, 9, 112
"c:\projects\level 2\room-reserve-server\vercel.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 15
"Total", "-", 14, 2123, 70, 33, 2452, 67, 253, 528, 5540
